"","source","Organization/Person Name","Organization/Person Name URL","Investor Type","Number of Investments","Number of Exits","Location","Description","Investment Stage","Number of Portfolio Organizations","Number of Partner Investments","Number of Lead Investments","Number of Diversity Investments","Number of Exits (IPO)","Accelerator Program Type","Accelerator Next Application Deadline","Accelerator Duration (in weeks)","Trend Score (90 Days)","Trend Score (30 Days)","Trend Score (7 Days)","CB Rank (Investor)","SEMrush - Monthly Visits","SEMrush - Average Visits (6 months)","SEMrush - Monthly Visits Growth","SEMrush - Visit Duration","SEMrush - Visit Duration Growth","SEMrush - Page Views / Visit","SEMrush - Page Views / Visit Growth","SEMrush - Bounce Rate","SEMrush - Bounce Rate Growth","Apptopia - Number of Apps","Apptopia - Downloads Last 30 Days","BuiltWith - Active Tech Count","G2 Stack - Total Products Active","IPqwery - Patents Granted","IPqwery - Trademarks Registered","IPqwery - Most Popular Patent Class","IPqwery - Most Popular Trademark Class","Aberdeen - IT Spend","Aberdeen - IT Spend Currency","Aberdeen - IT Spend Currency (in USD)"
"1376","INVESTORS/investors-2021-11-26 (2).csv","Duxx Investimentos","https://www.crunchbase.com/organization/duxxinvestimentos","Micro VC, Venture Capital",14,3,"São Paulo, Sao Paulo, Brazil","Duxx Investimentos is an active venture capital fund, focused on investments in internet and technology startups.","Early Stage Venture, Seed",12,NA,12,NA,3,NA,NA,NA,-1,-0.1,-0.1,37474,280,NA,NA,11,NA,2,NA,"0%",NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
"1377","INVESTORS/investors-2021-11-26 (2).csv","Alice Ventures","https://www.crunchbase.com/organization/alice-ventures","Government Office, Venture Capital",14,4,"Milan, Lombardia, Italy","Alice Ventures is a multinational venture capital management team from Israel, Italy and the UK, who leverage their collective network to","Early Stage Venture, Late Stage Venture",11,NA,3,NA,4,NA,NA,NA,0,-0.2,0.5,37730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"1378","INVESTORS/investors-2021-11-26 (2).csv","Agate Medical Investments","https://www.crunchbase.com/organization/agate-medical-investments","Venture Capital",14,3,"Tel Aviv, Tel Aviv, Israel","Agate Medical Investments LP specializes in mid venture; late stage; and buyout investments in mature companies.","Early Stage Venture, Late Stage Venture",10,NA,2,NA,3,NA,NA,NA,-0.5,-0.3,-0.3,38692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA
"1379","INVESTORS/investors-2021-11-26 (2).csv","BC Brandenburg Capital","https://www.crunchbase.com/organization/bc-brandenburg-capital","Venture Capital",14,3,"Potsdam, Brandenburg, Germany","BC Brandenburg Capital operates as a management and holding body of various investment funds.","Early Stage Venture, Late Stage Venture",11,NA,NA,NA,3,NA,NA,NA,0,0.8,0.1,39461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"1380","INVESTORS/investors-2021-11-26 (2).csv","Acceleris Capital","https://www.crunchbase.com/organization/acceleris-capital","Venture Capital",14,3,"Manchester, Manchester, United Kingdom","Acceleris Capital provides corporate finance advice and raises funds for early and development stage businesses.",NA,10,NA,2,NA,3,NA,NA,NA,-0.3,-0.3,-0.1,39832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,131150,"USD",131150
"1381","INVESTORS/investors-2021-11-26 (2).csv","SLS Venture","https://www.crunchbase.com/organization/sls-venture","Venture Capital",14,4,"Stockholm, Stockholms Lan, Sweden","SLS Venture, a Scandinavian-based venture capital company, is the result of the merger of the life science team from The Sixth Swedish","Early Stage Venture, Late Stage Venture",8,NA,3,NA,4,NA,NA,NA,-0.1,-0.2,-0.1,40256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"1382","INVESTORS/investors-2021-11-26 (2).csv","CM-CIC Capital Finance","https://www.crunchbase.com/organization/cm-cic-capital-finance","Private Equity Firm, Venture Capital",14,3,"Paris, Ile-de-France, France","CM-CIC Capital Finance aims to financially support local companies at all stages of their development.","Early Stage Venture",14,NA,4,NA,3,NA,NA,NA,-0.2,-0.1,-0.1,40281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"1383","INVESTORS/investors-2021-11-26 (2).csv","Ludgate Environmental Fund","https://www.crunchbase.com/organization/ludgate-environmental-fund","Venture Capital",14,4,"Kersey, Lancashire, United Kingdom","Ludgate Environmental Fund invests in a diverse portfolio of resource efficiency companies for capital growth.",NA,11,NA,9,NA,4,NA,NA,NA,-0.3,0.7,-0.1,43356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA
"1384","INVESTORS/investors-2021-11-26 (2).csv","Jefferson Partners","https://www.crunchbase.com/organization/jefferson-partners","Venture Capital",14,4,"Toronto, Ontario, Canada","Jefferson Partners is a venture capital firm specializing in seed and early stage and core investments in established companies.","Early Stage Venture, Late Stage Venture",8,NA,4,NA,4,NA,NA,NA,-0.2,0.4,0.2,43604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"1385","INVESTORS/investors-2021-11-26 (2).csv","Roser Ventures","https://www.crunchbase.com/organization/roser-ventures","Venture Capital",14,4,"Boulder, Colorado, United States","Based in Boulder, Colorado, Roser Ventures is focused on early-stage companies in the information technology space.","Late Stage Venture, Seed",10,NA,2,3,4,NA,NA,NA,-0.2,-0.1,-0.1,45522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"1386","INVESTORS/investors-2021-11-26 (2).csv","YungPark Capital","https://www.crunchbase.com/organization/yungpark-capital","Venture Capital",14,3,"Shanghai, Shanghai, China","YungPark Capital is an integrated industrial investment group, focused on financial innovation and investment in a number of industries.","Early Stage Venture, Seed",14,NA,5,NA,3,NA,NA,NA,-0.3,-0.2,-0.1,47288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1387","INVESTORS/investors-2021-11-26 (2).csv","PacRim Venture Partners","https://www.crunchbase.com/organization/pacrim-venture-partners","Venture Capital",14,3,"Menlo Park, California, United States","PacRim Venture Partners (PVP) is a private venture capital fund with investors from the United States, Taiwan and Hong Kong.","Early Stage Venture",12,NA,1,NA,3,NA,NA,NA,-0.4,3.1,1.5,48155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"1388","INVESTORS/investors-2021-11-26 (2).csv","Midinvest Management","https://www.crunchbase.com/organization/midinvest-management","Private Equity Firm, Venture Capital",14,4,"Jyväskylä, Western Finland, Finland","Midinvest Management is a Finnish private equity firm specialized in ownership arrangements for small- and medium-sized enterprises.","Seed",14,NA,10,NA,4,NA,NA,NA,-0.5,-0.1,-0.2,51410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
"1389","INVESTORS/investors-2021-11-26 (2).csv","Convergent Investors","https://www.crunchbase.com/organization/convergent-investors","Venture Capital",14,4,"Austin, Texas, United States","Convergent Investors is a private equity venture capital firm based in Texas, with offices in Austin and Houston.","Late Stage Venture",9,NA,3,NA,4,NA,NA,NA,-0.3,-0.1,0.3,51389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"1390","INVESTORS/investors-2021-11-26 (2).csv","Co-Power Capital Management","https://www.crunchbase.com/organization/co-power-venture-capital","Micro VC, Venture Capital",14,3,"Shenzhen, Guangdong, China","Co-Power Capital Management is a financial and capital management firm that provides comprehensive asset management services.","Early Stage Venture",13,NA,5,NA,3,NA,NA,NA,2.4,0.6,1.3,53834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"1391","INVESTORS/investors-2021-11-26 (2).csv","Innovatech Québec","https://www.crunchbase.com/organization/innovatech-qubec","Government Office, Venture Capital",14,3,"Quebec, Quebec, Canada","Innovatech Québec is a $125M early stage venture capital fund owned by the Government of Quebec.","Early Stage Venture, Post-Ipo",10,NA,1,NA,3,NA,NA,NA,-0.5,-0.6,-0.2,68165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,75621,"USD",75621
"1392","INVESTORS/investors-2021-11-26 (2).csv","Huaou Equity Investment","https://www.crunchbase.com/organization/huaou-equity-investment","Venture Capital",14,3,"Hangzhou, Zhejiang, China","Huaou Equity Investment focuses on venture capital fund management and investment in start-up projects.",NA,12,NA,3,NA,3,NA,NA,NA,-0.8,0.5,-0.1,82094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"1393","INVESTORS/investors-2021-11-26 (2).csv","PayU","https://www.crunchbase.com/organization/payu-t-rkiye","Venture Capital",13,4,"Hoofddorp, Noord-Holland, The Netherlands","PayU operates as an online payment service provider in global growth markets.",NA,8,NA,10,2,4,NA,NA,NA,-0.6,-0.5,0.7,3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,39,0,14,NA,"Scientific and electric apparatus and instruments",NA,NA,NA
"1394","INVESTORS/investors-2021-11-26 (2).csv","GSK","https://www.crunchbase.com/organization/gsk-venture-fund","Venture Capital",13,4,"Kelayres, Pennsylvania, United States","GSK Venture Fund is a Massachusetts-based venture capital fund focused on investments within the area of bioelectronics.","Early Stage Venture, Late Stage Venture",11,NA,2,5,4,NA,NA,NA,-0.7,-0.4,-0.1,4863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
"1395","INVESTORS/investors-2021-11-26 (2).csv","Mid-America Angels","https://www.crunchbase.com/organization/mid-america-angels","Angel Group, Venture Capital",13,4,"Overland Park, Kansas, United States","Mid-America Angels is a regional network of accredited investors dedicated to identifying and funding early-stage companies.","Early Stage Venture",12,NA,5,5,4,NA,NA,NA,-1.5,-0.1,0,6711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"1396","INVESTORS/investors-2021-11-26 (2).csv","GoldenSand Capital","https://www.crunchbase.com/organization/gsr-capital","Private Equity Firm, Venture Capital",13,3,"Beijing, Beijing, China","GoldenSand is an investment company with the aim of sector leadership, and going global with unique investment strategies and resources.","Private Equity",10,NA,3,NA,3,NA,NA,NA,-0.5,4.1,4.3,12732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"1397","INVESTORS/investors-2021-11-26 (2).csv","Singulariteam","https://www.crunchbase.com/organization/singulariteam-ltd","Venture Capital",13,4,"Tel Aviv, Tel Aviv, Israel","Singulariteam Ltd. is a Private Investment Fund dedicated to assisting early stage technology companies requiring seed capital.","Early Stage Venture, Seed",12,NA,5,NA,4,NA,NA,NA,2.1,1.5,0.7,13655,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
"1398","INVESTORS/investors-2021-11-26 (2).csv","Tablomonto Ventures","https://www.crunchbase.com/organization/tablomonto","Venture Capital",13,3,"Laren, Noord-Holland, The Netherlands","Investors & Builders for Tech Startups - Backing courageous tech founders build a more inclusive and healthier tomorrow","Early Stage Venture, Late Stage Venture, Seed",12,NA,8,NA,3,NA,NA,NA,1.1,-0.3,-0.1,14915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
"1399","INVESTORS/investors-2021-11-26 (2).csv","Morgan Stanley Investment Management","https://www.crunchbase.com/organization/morgan-stanley-investmentmanagement","Private Equity Firm, Venture Capital",13,3,"New York, New York, United States","They are active managers of capital, working to outperform the market and deliver results for our clients.",NA,9,NA,5,NA,3,NA,NA,NA,-2.9,1.7,-0.2,16482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"1400","INVESTORS/investors-2021-11-26 (2).csv","LEA Partners","https://www.crunchbase.com/organization/lea-partners","Private Equity Firm, Venture Capital",13,3,"Karlsruhe, Baden-Wurttemberg, Germany","LEA Partners is a multi-stage private equity and venture capital firm that backs and supports B2B Tech founders and executives.","Early Stage Venture, Late Stage Venture, Private Equity, Seed",12,NA,5,NA,3,NA,NA,NA,6.8,-0.5,-0.4,16791,248,1309,"-78.66%",39,"333.33%",4,"100%","0%","53.26%",NA,NA,13,9,NA,NA,NA,NA,NA,NA,NA
"1401","INVESTORS/investors-2021-11-26 (2).csv","Ariadne Capital Limited","https://www.crunchbase.com/organization/ariadne-capital","Venture Capital",13,3,"Malta, Illinois, United States","Ariadne Capital enables corporate who seek new digital revenues and startups who understand digital infrastructure.","Early Stage Venture, Seed",12,NA,2,1,3,NA,NA,NA,-0.4,-0.1,0,17483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"1402","INVESTORS/investors-2021-11-26 (2).csv","Veddis","https://www.crunchbase.com/organization/veddis-ventures","Venture Capital",13,3,"London, England, United Kingdom","Veddis is an independent investment firm.","Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Secondary Market, Seed",13,NA,2,2,3,NA,NA,NA,1.8,1.4,0.1,18598,173,NA,NA,443,NA,3,NA,"0%",NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
"1403","INVESTORS/investors-2021-11-26 (2).csv","Axil Capital","https://www.crunchbase.com/organization/axil-capital","Venture Capital",13,3,"Tokyo, Tokyo, Japan","Axil Capital is a venture capital firm investing in companies in the biomedical and healthcare fields from the early stages.",NA,10,NA,4,1,3,NA,NA,NA,0.2,-0.1,-0.2,19207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
"1404","INVESTORS/investors-2021-11-26 (2).csv","PPF Group","https://www.crunchbase.com/organization/ppfgroup","Venture Capital",13,3,"Amsterdam, Noord-Holland, The Netherlands","PPF Group invests into multiple market segments across Europe, Russia, the US and Asia.",NA,7,NA,9,NA,3,NA,NA,NA,-0.7,-0.2,-0.1,19781,209,NA,NA,50,NA,3,NA,"0%",NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"1405","INVESTORS/investors-2021-11-26 (2).csv","Norselab","https://www.crunchbase.com/organization/norselab---digital-entrepreneurs","Venture Capital",13,3,"Oslo, Oslo, Norway","Norselab, a Norwegian venture capital firm, offers investment and incubation services for technology startups.","Seed",12,NA,2,2,3,NA,NA,NA,-0.4,0.2,0,20057,1313,NA,"-47.18%",0,NA,1,"0%","100%","0%",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"1406","INVESTORS/investors-2021-11-26 (2).csv","Hedgehog Fund","https://www.crunchbase.com/organization/hedgehog-fund","Venture Capital",13,3,"Warsaw, Mazowieckie, Poland","Polish seed fund investing in prospective projects with regional (European) potential","Early Stage Venture, Seed",12,NA,3,NA,3,NA,NA,NA,0.9,0.6,0,20628,193,NA,NA,9,NA,2,NA,"0%",NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"1407","INVESTORS/investors-2021-11-26 (2).csv","Chainfund Capital","https://www.crunchbase.com/organization/blockchain-fund","Venture Capital",13,4,"San Francisco, California, United States","Chainfund Capital is a Global FinTech Fund that invests in the next generation of financial technology.","Early Stage Venture, Late Stage Venture, Seed",13,NA,NA,3,4,NA,NA,NA,0,-0.1,0,21489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"1408","INVESTORS/investors-2021-11-26 (2).csv","Abénex Capital","https://www.crunchbase.com/organization/abénex-capital","Private Equity Firm, Venture Capital",13,3,"Paris, Ile-de-France, France","Abénex Capital is an independent private equity firm.",NA,12,NA,5,NA,3,NA,NA,NA,1,1.8,0,22220,1904,NA,"-42.74%",76,"-60.42%",1.6,"51.59%","40.07%","-57.6%",NA,NA,22,NA,0,2,NA,"Advertising; business",NA,NA,NA
"1409","INVESTORS/investors-2021-11-26 (2).csv","Run Capital Investment Fund","https://www.crunchbase.com/organization/run-capital-investment-fund","Venture Capital",13,3,"Nicosia, Nicosia, Cyprus","Run Capital Investment Fund was established in April 2014 a successful Russian businessman Andrey Romanenko, targeting tech startups.","Early Stage Venture, Seed",12,NA,8,3,3,NA,NA,NA,-0.2,0.4,0.2,22296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"1410","INVESTORS/investors-2021-11-26 (2).csv","Vortex Capital Partners","https://www.crunchbase.com/organization/vortex-capital-partners","Private Equity Firm, Venture Capital",13,3,"Amsterdam, Noord-Holland, The Netherlands","Vortex is a venture- and buyout capital firm with a focus on companies active in internet, software and technology enabled services","Early Stage Venture, Private Equity",12,NA,6,NA,3,NA,NA,NA,-0.2,-0.1,0.3,23755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"1411","INVESTORS/investors-2021-11-26 (2).csv","ECA Ventures","https://www.crunchbase.com/organization/europlay-capital-advisors","Venture Capital",13,4,"Sherman Oaks, California, United States","ECA Ventures invests in seed- and early-stage mobile, online gaming, social media, and cloud- and location-based companies.","Seed",10,NA,1,1,4,NA,NA,NA,-0.1,-0.2,0.3,25725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,NA,NA,NA,NA,NA,NA,NA
"1412","INVESTORS/investors-2021-11-26 (2).csv","Murphree Venture Partners","https://www.crunchbase.com/organization/murphree-venture-partners","Venture Capital",13,4,"Houston, Texas, United States","Murphree Venture Partners invests in energy, tech-enhanced business services, waste management, and critical infrastructure companies.","Early Stage Venture, Late Stage Venture",11,NA,4,NA,4,NA,NA,NA,3.1,-0.7,-0.2,26333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
"1413","INVESTORS/investors-2021-11-26 (2).csv","Inflexion Partners","https://www.crunchbase.com/organization/inflexion-partners","Venture Capital",13,3,"Orlando, Florida, United States","Inflexion is a venture capital fund firm.","Early Stage Venture, Late Stage Venture",7,NA,4,NA,3,NA,NA,NA,3,3.5,-0.2,26806,979,NA,"-22.49%",129,"-93.92%",7,"40%","0%",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"1414","INVESTORS/investors-2021-11-26 (2).csv","Bedrock Capital Partners","https://www.crunchbase.com/organization/bedrockcapital-partners","Venture Capital",13,4,"San Francisco, California, United States","Bedrock Capital Partners is an early stage venture capital.","Early Stage Venture",10,NA,4,NA,4,NA,NA,NA,-0.3,-0.1,0,27791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"1415","INVESTORS/investors-2021-11-26 (2).csv","Pyfera Growth Capital","https://www.crunchbase.com/organization/pyfera-growth-capital","Family Investment Office, Venture Capital",13,4,"Vancouver, British Columbia, Canada","Private investment firm focused on high growth companies in technology and sustainability.","Early Stage Venture, Late Stage Venture, Seed, Venture",13,NA,NA,NA,4,NA,NA,NA,0,1.1,-0.1,28346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA
"1416","INVESTORS/investors-2021-11-26 (2).csv","Medra Capital","https://www.crunchbase.com/organization/medra-capital","Venture Capital",13,4,"London, England, United Kingdom","Medra Capital is a private investment company providing seed and follow-on funding for start-ups.","Seed",11,NA,10,NA,4,NA,NA,NA,-0.2,0.2,0,34707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"1417","INVESTORS/investors-2021-11-26 (2).csv","Alive Ideas","https://www.crunchbase.com/organization/alive-ideas","Venture Capital",13,4,"Paris, Ile-de-France, France","Alive Ideas is a team of french entrepreneurs trying to help ideas to go (a)live.","Seed",12,NA,1,NA,4,NA,NA,NA,2.9,-0.2,0.3,36169,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"1418","INVESTORS/investors-2021-11-26 (2).csv","Convexa Capital Ventures","https://www.crunchbase.com/organization/convexa-capital-ventures","Venture Capital",13,3,"Oslo, Oslo, Norway","Convexa is a Norwegian based venture capital company that invests in early stage companies with disruptive technologies in the","Early Stage Venture, Late Stage Venture",6,NA,5,NA,3,NA,NA,NA,-0.3,-0.2,-0.1,36226,1456,NA,NA,0,NA,1,NA,"100%",NA,NA,NA,11,10,NA,NA,NA,NA,NA,NA,NA
"1419","INVESTORS/investors-2021-11-26 (2).csv","Suffolk Equity Partners","https://www.crunchbase.com/organization/suffolk-equity-partners","Venture Capital",13,3,"Cambridge, Massachusetts, United States","Suffolk Equity is an investment company funding businesses and entrepreneurs and helping them achieve their goals of growth and improvement.","Early Stage Venture, Seed",9,NA,1,3,3,NA,NA,NA,-0.7,-0.6,-0.3,36688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
"1420","INVESTORS/investors-2021-11-26 (2).csv","Boox","https://www.crunchbase.com/organization/boox","Accelerator",13,4,"Milan, Lombardia, Italy","Boox is an accelerator that focuses on seed stage projects that operates in the ecommerce and SaaS sectors.","Seed",12,NA,NA,NA,4,NA,NA,NA,0.2,1.8,0.4,37576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
"1421","INVESTORS/investors-2021-11-26 (2).csv","Keadyn","https://www.crunchbase.com/organization/keadyn","Venture Capital",13,4,"Rotterdam, Zuid-Holland, The Netherlands","Keadyn Angel VC: a progressive angel VC focused on winning teams, adding value & exponential growth","Debt, Early Stage Venture, Seed",13,NA,2,NA,4,NA,NA,NA,-0.3,0,-0.1,38475,439,NA,NA,96,NA,9,NA,"0%",NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
"1422","INVESTORS/investors-2021-11-26 (2).csv","Hillcrest Venture Partners","https://www.crunchbase.com/organization/hillcrest-venture-partners","Micro VC, Venture Capital",13,3,"Glendale, California, United States","Hillcrest Venture Partners is a venture capital firm that takes a methodical approach to investing in seed to growth stage technology","Early Stage Venture, Seed",12,NA,1,1,3,NA,NA,NA,-0.5,-0.3,0.5,40493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"1423","INVESTORS/investors-2021-11-26 (2).csv","about:seed GmbH","https://www.crunchbase.com/organization/88investments","Micro VC, Venture Capital",13,4,"Köln, Nordrhein-Westfalen, Germany","Investment company","Early Stage Venture, Seed",11,NA,NA,NA,4,NA,NA,NA,-0.3,-0.1,0.4,41085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1424","INVESTORS/investors-2021-11-26 (2).csv","Sekunjalo Group","https://www.crunchbase.com/organization/sekunjalo-investments-limited","Venture Capital",13,4,"Cape Town, NA - South Africa, South Africa","The Sekunjalo Group is a collation of companies and investments and funds.",NA,13,NA,3,NA,4,NA,NA,NA,-0.2,1.7,-0.1,44336,242,NA,NA,462,NA,8,NA,"0%",NA,NA,NA,32,19,NA,NA,NA,NA,NA,NA,NA
"1425","INVESTORS/investors-2021-11-26 (2).csv","Time for Growth","https://www.crunchbase.com/organization/time-for-growth","Private Equity Firm, Venture Capital",13,4,"Paris, Ile-de-France, France","Time for Growth is a French based growth capital private equity fund specialized","Early Stage Venture, Late Stage Venture, Private Equity",13,NA,7,NA,4,NA,NA,NA,-0.1,-0.3,-0.1,44569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,1,NA,"Advertising; business",NA,NA,NA
"1426","INVESTORS/investors-2021-11-26 (2).csv","Cloud Power Capital","https://www.crunchbase.com/organization/cloud-power-capital","Micro VC, Venture Capital",13,3,"Austin, Texas, United States","Cloud Power Capital is a capital pool focusing on tech start-ups and online businesses.","Crowdfunding, Debt, Early Stage Venture, Private Equity, Seed",10,NA,NA,3,3,NA,NA,NA,1.1,-0.6,-0.1,44555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"1427","INVESTORS/investors-2021-11-26 (2).csv","Portview Communications Partners","https://www.crunchbase.com/organization/portview-communications-partners","Venture Capital",13,4,"Armonk, New York, United States","Portview is a specialized international venture capital fund investing in next - generation communications and related technologies,","Early Stage Venture, Late Stage Venture, Seed",7,NA,NA,NA,4,NA,NA,NA,0.6,-0.3,-0.2,45225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"1428","INVESTORS/investors-2021-11-26 (2).csv","Nissei Capital","https://www.crunchbase.com/organization/nissei-capital","Venture Capital",13,4,"Tokyo, Tokyo, Japan","Nissei Capital, a Japanese investment company, offers early- and later-stage venture investment services and solutions.","Early Stage Venture, Late Stage Venture",11,NA,4,1,4,NA,NA,NA,-0.9,-0.6,-0.1,45377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1429","INVESTORS/investors-2021-11-26 (2).csv","Shanshan Venture Capital","https://www.crunchbase.com/organization/shanshan-venture-capital","Venture Capital",13,3,"Shanghai, Shanghai, China","Shanshan is a venture capital firm specializes in investments in media and alternative energy resources sectors. .","Early Stage Venture, Late Stage Venture, Seed",13,NA,5,NA,3,NA,NA,NA,-0.5,0.4,-0.1,49583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
"1430","INVESTORS/investors-2021-11-26 (2).csv","Kansas Bioscience Authority","https://www.crunchbase.com/organization/kansas-bioscience-authority","Government Office, Incubator",13,3,"Olathe, Kansas, United States","Kansas has the largest concentration of animal health companies in the world. Their researchers are making breakthroughs in oncology,","Early Stage Venture",9,NA,4,1,3,NA,NA,NA,1.7,-0.1,-0.1,50204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,1,NA,"Advertising; business",29319,"USD",29319
"1431","INVESTORS/investors-2021-11-26 (2).csv","TGap Ventures","https://www.crunchbase.com/organization/tgap-ventures","Venture Capital",13,4,"Kalamazoo, Michigan, United States","TGap Ventures is a Michigan-based venture capital firm focused primarily on early-stage investments in high-growth companies.","Early Stage Venture, Late Stage Venture",9,NA,1,5,4,NA,NA,NA,-0.2,-0.3,0.6,53538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"1432","INVESTORS/investors-2021-11-26 (2).csv","Zhejiang Venture Capital","https://www.crunchbase.com/organization/zhejiang-venture-capital","Venture Capital",13,4,"Hangzhou, Zhejiang, China","Zhejiang Venture Capital aims to support startups in the Zhejiang province.","Early Stage Venture",11,NA,2,NA,4,NA,NA,NA,-0.1,0,-0.1,55709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
